Server,Sets,Games,Points,info,left_win,first,first_f,second,second_f
Alexander Zverev,1‑0,0‑0,15‑0,"1st serve wide, fault (long). 2nd serve to body; backhand return crosscourt (shallow); backhand crosscourt; backhand down the middle; forehand crosscourt (net), unforced error. (4-shot rally)",False,W,L,B,
Alexander Zverev,1‑0,0‑0,15‑15,"1st serve wide; forehand return down the middle (very deep); backhand crosscourt; backhand down the line; forehand down the middle; backhand crosscourt; backhand crosscourt; backhand drop shot crosscourt; backhand slice down the middle; forehand crosscourt; forehand volley down the line; backhand lob crosscourt, winner. (12-shot rally)",False,W,,,
Alexander Zverev,1‑0,0‑0,15‑30,"1st serve down the T, fault (net). 2nd serve down the T; forehand return inside-out (very deep); backhand crosscourt; forehand inside-out; backhand crosscourt; forehand drop shot at net inside-out, winner. (6-shot rally)",False,T,N,T,
Alexander Zverev,1‑0,0‑0,15‑40,"1st serve down the T; backhand return down the middle (deep); backhand inside-out; forehand down the middle; backhand down the middle; forehand approach shot inside-out; backhand lob down the line; smash at baseline crosscourt, forced error. (7-shot rally)",True,T,,,
Alexander Zverev,1‑0,0‑0,30‑40,"1st serve wide; backhand slice return crosscourt (very deep); forehand inside-in; forehand crosscourt; forehand down the middle (net), unforced error. (4-shot rally)",False,W,,,
,,,,,,,,,
Kei Nishikori,0‑1,1‑0,0‑0,"1st serve down the T; backhand slice return, forced error.",True,T,,,
Kei Nishikori,0‑1,1‑0,15‑0,"1st serve wide; backhand return crosscourt (very deep); backhand down the line; forehand down the middle; backhand inside-out, winner. (5-shot rally)",True,W,,,
Kei Nishikori,0‑1,1‑0,30‑0,"1st serve down the T, fault (long). 2nd serve to body; backhand return inside-in (deep); backhand crosscourt; backhand crosscourt; backhand down the middle; forehand crosscourt; forehand crosscourt; forehand down the line (long), unforced error. (7-shot rally)",True,T,L,B,
Kei Nishikori,0‑1,1‑0,40‑0,"1st serve wide; backhand slice return down the middle (very deep); forehand drop shot inside-out, winner.",True,W,,,
